,Unnamed: 0,城市,2019平均房价
59,59,厦门市,45356元/㎡
60,60,兰州市,12017元/㎡
61,61,天水市,9395元/㎡
62,62,陇南市,7761元/㎡
63,63,庆阳市,7419元/㎡
64,64,平凉市,6659元/㎡
65,65,武威市,6521元/㎡
66,66,白银市,5592元/㎡
67,67,定西市,5500元/㎡
68,68,酒泉市,5363元/㎡
69,69,临夏市,5227元/㎡
70,70,嘉峪关市,4249元/㎡
71,71,金昌市,4246元/㎡
72,72,张掖市,3480元/㎡
73,73,张掖市,3480元/㎡
74,74,金昌市,4246元/㎡
75,75,嘉峪关市,4249元/㎡
76,76,临夏市,5227元/㎡
77,77,酒泉市,5363元/㎡
78,78,定西市,5500元/㎡
79,79,白银市,5592元/㎡
80,80,武威市,6521元/㎡
81,81,平凉市,6659元/㎡
82,82,庆阳市,7419元/㎡
83,83,陇南市,7761元/㎡
84,84,天水市,9395元/㎡
85,85,兰州市,12017元/㎡
86,86,深圳市,53798元/㎡
87,87,广州市,32058元/㎡
88,88,珠海市,20986元/㎡
89,89,东莞市,15384元/㎡
